label,id,title,artist,creator,total_length,star_rating,bpm,ar,cs,hit_length,od,genre,circles,sliders,spinners,slider_ratio,base_bpm,total_notes,mean_distance,std_distance,stream_density,kiai_note_ratio,kiai_mean_dist,kiai_note_count,interval_variance,mean_interval_ms,notes_per_second,mean_velocity,mean_sliders_length,rhythm_complexity,burst_density,speed_index,alt_ratio,interval_variance_log,ar_od_ratio
aim_control_maps,1672135,(This Is Not) The Angels,Hommarju,Yusomi,116,7.05906,130.0,9.6,5.0,115,9.1,unspecified,378.0,292.0,0.0,0.44,130.0,670.0,131.51,84.98,0.64,0.15,159.03,102.0,7740.59,171.09,5.85,0.77,216.93,0.02,0.05,83.2,0.17,8.95,0
aim_control_maps,1849487,Akari ga Yattekita zo,Mirai Akari,HICCA,292,6.20435,136.0,9.4,4.0,290,8.0,jazz,799.0,605.0,0.0,0.43,136.0,1404.0,134.75,87.65,0.5,0.38,131.05,540.0,49091.3,206.44,4.85,0.65,306.23,0.03,0.04,68.0,0.14,10.8,0
aim_control_maps,1989886,ANiMA,xi,FrenZ396,263,7.05272,183.5,9.8,4.0,233,9.4,video_game,1001.0,468.0,0.0,0.32,183.5,1469.0,103.26,96.14,0.56,0.42,120.76,615.0,101745.92,164.38,6.09,0.63,276.38,0.02,0.07,102.76,0.09,11.53,0
aim_control_maps,2482886,am i loli enough?,goreshit,Silverboxer,137,7.48045,225.0,10.0,4.0,129,9.0,unspecified,523.0,208.0,1.0,0.28,225.0,732.0,190.01,90.26,0.08,0.25,249.98,183.0,29248.73,175.83,5.7,1.08,264.09,0.02,0.01,18.0,0.12,10.28,0
aim_control_maps,2571108,ANGEL HALO,REDALiCE & cosMo@Bousou-P,Aimnai,136,7.94747,203.0,9.7,4.0,136,9.0,electronic,895.0,238.0,0.0,0.21,203.0,1133.0,115.76,101.94,0.62,0.29,125.28,330.0,7303.94,119.85,8.35,0.97,202.45,0.02,0.03,125.86,0.14,8.9,0
aim_control_maps,2603690,"Adieu, to this Lively Graveyard",Akatsuki Records,yaspo,182,5.14841,115.0,8.2,5.0,182,8.0,other,594.0,168.0,0.0,0.22,115.0,762.0,138.58,85.51,0.5,0.0,0.0,0.0,19689.48,237.9,4.21,0.58,414.05,0.01,0.06,57.5,0.13,9.89,0
aim_control_maps,2902783,Anklebiters,Paramore,Luscent,134,6.96697,230.0,9.5,4.0,134,9.0,rock,421.0,210.0,0.0,0.33,230.0,631.0,191.93,104.93,0.0,0.26,204.04,161.0,29839.67,212.01,4.72,0.91,328.0,0.03,0.0,0.0,0.16,10.3,0
aim_control_maps,2902869,Anklebiters,Paramore,Luscent,134,7.01655,230.0,7.5,4.0,134,9.0,rock,421.0,210.0,0.0,0.33,230.0,631.0,191.93,104.93,0.0,0.26,204.04,161.0,29839.67,212.01,4.72,0.91,328.0,0.03,0.0,0.0,0.16,10.3,0
aim_control_maps,2926618,Anklebiters,Paramore,Luscent,134,6.33933,230.0,9.5,4.0,126,9.0,rock,303.0,243.0,1.0,0.44,230.0,547.0,177.08,96.01,0.01,0.0,0.0,0.0,151966.82,244.62,4.1,0.72,327.41,0.04,0.01,2.3,0.08,11.93,0
aim_control_maps,3020221,Angel's Salad,katagiri,Nathan,136,7.86355,177.0,9.6,4.0,135,9.0,electronic,488.0,337.0,1.0,0.41,177.0,826.0,123.9,88.86,0.43,0.38,126.63,316.0,22151.88,162.81,6.15,0.76,263.72,0.05,0.08,76.11,0.11,10.01,0
